estatus,id,Fecha
1,1,4/9/2023 11:30:21
4,2,4/9/2023 11:30:21
4,3,4/9/2023 11:30:21
1,4,4/9/2023 11:30:21
1,5,4/9/2023 11:30:21
1,6,4/9/2023 11:30:21
1,7,4/9/2023 11:30:21
1,8,4/9/2023 11:30:21
4,9,4/9/2023 11:30:21
4,10,4/9/2023 11:30:21
1,11,4/9/2023 11:30:21
0,12,4/9/2023 11:30:21
0,13,4/9/2023 11:30:21
0,14,4/9/2023 11:30:21
4,15,4/9/2023 11:30:21
0,16,4/9/2023 11:30:21
0,17,4/9/2023 11:30:21
0,18,4/9/2023 11:30:21
1,19,4/9/2023 11:30:21
1,20,4/9/2023 11:30:21
1,21,4/9/2023 11:30:21
1,22,4/9/2023 11:30:21
1,23,4/9/2023 11:30:21
1,24,4/9/2023 11:30:21
1,25,4/9/2023 11:30:21
1,26,4/9/2023 11:30:21
1,27,4/9/2023 11:30:21
1,28,4/9/2023 11:30:21
1,29,4/9/2023 11:30:21
1,30,4/9/2023 11:30:21
1,31,4/9/2023 11:30:21
1,32,4/9/2023 11:30:21
1,33,4/9/2023 11:30:21
1,34,4/9/2023 11:30:21
1,35,4/9/2023 11:30:21
1,36,4/9/2023 11:30:21
4,37,4/9/2023 11:30:21
4,38,4/9/2023 11:30:21
1,39,4/9/2023 11:30:21
1,1,4/9/2023 11:45:20
4,2,4/9/2023 11:45:20
4,3,4/9/2023 11:45:20
1,4,4/9/2023 11:45:20
1,5,4/9/2023 11:45:20
1,6,4/9/2023 11:45:20
1,7,4/9/2023 11:45:20
1,8,4/9/2023 11:45:20
4,9,4/9/2023 11:45:20
4,10,4/9/2023 11:45:20
1,11,4/9/2023 11:45:20
0,12,4/9/2023 11:45:20
0,13,4/9/2023 11:45:20
0,14,4/9/2023 11:45:20
4,15,4/9/2023 11:45:20
0,16,4/9/2023 11:45:20
0,17,4/9/2023 11:45:20
0,18,4/9/2023 11:45:20
1,19,4/9/2023 11:45:20
1,20,4/9/2023 11:45:20
1,21,4/9/2023 11:45:20
1,22,4/9/2023 11:45:20
1,23,4/9/2023 11:45:20
1,24,4/9/2023 11:45:20
1,25,4/9/2023 11:45:20
1,26,4/9/2023 11:45:20
1,27,4/9/2023 11:45:20
1,28,4/9/2023 11:45:20
1,29,4/9/2023 11:45:20
1,30,4/9/2023 11:45:20
1,31,4/9/2023 11:45:20
1,32,4/9/2023 11:45:20
1,33,4/9/2023 11:45:20
1,34,4/9/2023 11:45:20
1,35,4/9/2023 11:45:20
1,36,4/9/2023 11:45:20
4,37,4/9/2023 11:45:20
4,38,4/9/2023 11:45:20
1,39,4/9/2023 11:45:20
1,1,4/9/2023 12:00:20
4,2,4/9/2023 12:00:20
4,3,4/9/2023 12:00:20
1,4,4/9/2023 12:00:20
1,5,4/9/2023 12:00:20
1,6,4/9/2023 12:00:20
1,7,4/9/2023 12:00:20
1,8,4/9/2023 12:00:20
4,9,4/9/2023 12:00:20
4,10,4/9/2023 12:00:20
1,11,4/9/2023 12:00:20
0,12,4/9/2023 12:00:20
0,13,4/9/2023 12:00:20
0,14,4/9/2023 12:00:20
4,15,4/9/2023 12:00:20
0,16,4/9/2023 12:00:20
0,17,4/9/2023 12:00:20
0,18,4/9/2023 12:00:20
1,19,4/9/2023 12:00:20
1,20,4/9/2023 12:00:20
1,21,4/9/2023 12:00:20
1,22,4/9/2023 12:00:20
1,23,4/9/2023 12:00:20
1,24,4/9/2023 12:00:20
1,25,4/9/2023 12:00:20
1,26,4/9/2023 12:00:20
1,27,4/9/2023 12:00:20
1,28,4/9/2023 12:00:20
1,29,4/9/2023 12:00:20
1,30,4/9/2023 12:00:20
1,31,4/9/2023 12:00:20
1,32,4/9/2023 12:00:20
1,33,4/9/2023 12:00:20
1,34,4/9/2023 12:00:20
1,35,4/9/2023 12:00:20
1,36,4/9/2023 12:00:20
4,37,4/9/2023 12:00:20
4,38,4/9/2023 12:00:20
1,39,4/9/2023 12:00:20
1,1,4/9/2023 12:15:20
4,2,4/9/2023 12:15:20
4,3,4/9/2023 12:15:20
1,4,4/9/2023 12:15:20
1,5,4/9/2023 12:15:20
1,6,4/9/2023 12:15:20
1,7,4/9/2023 12:15:20
1,8,4/9/2023 12:15:20
4,9,4/9/2023 12:15:20
4,10,4/9/2023 12:15:20
1,11,4/9/2023 12:15:20
0,12,4/9/2023 12:15:20
0,13,4/9/2023 12:15:20
0,14,4/9/2023 12:15:20
4,15,4/9/2023 12:15:20
0,16,4/9/2023 12:15:20
0,17,4/9/2023 12:15:20
0,18,4/9/2023 12:15:20
1,19,4/9/2023 12:15:20
1,20,4/9/2023 12:15:20
1,21,4/9/2023 12:15:20
1,22,4/9/2023 12:15:20
1,23,4/9/2023 12:15:20
1,24,4/9/2023 12:15:20
1,25,4/9/2023 12:15:20
1,26,4/9/2023 12:15:20
1,27,4/9/2023 12:15:20
1,28,4/9/2023 12:15:20
1,29,4/9/2023 12:15:20
1,30,4/9/2023 12:15:20
1,31,4/9/2023 12:15:20
1,32,4/9/2023 12:15:20
1,33,4/9/2023 12:15:20
1,34,4/9/2023 12:15:20
1,35,4/9/2023 12:15:20
1,36,4/9/2023 12:15:20
4,37,4/9/2023 12:15:20
4,38,4/9/2023 12:15:20
1,39,4/9/2023 12:15:20
1,1,4/9/2023 12:30:19
4,2,4/9/2023 12:30:19
4,3,4/9/2023 12:30:19
1,4,4/9/2023 12:30:19
1,5,4/9/2023 12:30:19
1,6,4/9/2023 12:30:19
1,7,4/9/2023 12:30:19
1,8,4/9/2023 12:30:19
4,9,4/9/2023 12:30:19
4,10,4/9/2023 12:30:19
1,11,4/9/2023 12:30:19
0,12,4/9/2023 12:30:19
0,13,4/9/2023 12:30:19
0,14,4/9/2023 12:30:19
4,15,4/9/2023 12:30:19
0,16,4/9/2023 12:30:19
0,17,4/9/2023 12:30:19
0,18,4/9/2023 12:30:19
1,19,4/9/2023 12:30:19
1,20,4/9/2023 12:30:19
1,21,4/9/2023 12:30:19
1,22,4/9/2023 12:30:19
1,23,4/9/2023 12:30:19
1,24,4/9/2023 12:30:19
1,25,4/9/2023 12:30:19
1,26,4/9/2023 12:30:19
1,27,4/9/2023 12:30:19
1,28,4/9/2023 12:30:19
1,29,4/9/2023 12:30:19
1,30,4/9/2023 12:30:19
1,31,4/9/2023 12:30:19
1,32,4/9/2023 12:30:19
1,33,4/9/2023 12:30:19
1,34,4/9/2023 12:30:19
1,35,4/9/2023 12:30:19
1,36,4/9/2023 12:30:19
4,37,4/9/2023 12:30:19
4,38,4/9/2023 12:30:19
1,39,4/9/2023 12:30:19
1,1,4/9/2023 12:45:30
4,2,4/9/2023 12:45:30
4,3,4/9/2023 12:45:30
1,4,4/9/2023 12:45:30
1,5,4/9/2023 12:45:30
1,6,4/9/2023 12:45:30
1,7,4/9/2023 12:45:30
1,8,4/9/2023 12:45:30
4,9,4/9/2023 12:45:30
4,10,4/9/2023 12:45:30
1,11,4/9/2023 12:45:30
0,12,4/9/2023 12:45:30
0,13,4/9/2023 12:45:30
0,14,4/9/2023 12:45:30
1,15,4/9/2023 12:45:30
0,16,4/9/2023 12:45:30
0,17,4/9/2023 12:45:30
0,18,4/9/2023 12:45:30
1,19,4/9/2023 12:45:30
1,20,4/9/2023 12:45:30
1,21,4/9/2023 12:45:30
1,22,4/9/2023 12:45:30
1,23,4/9/2023 12:45:30
1,24,4/9/2023 12:45:30
1,25,4/9/2023 12:45:30
1,26,4/9/2023 12:45:30
1,27,4/9/2023 12:45:30
1,28,4/9/2023 12:45:30
1,29,4/9/2023 12:45:30
1,30,4/9/2023 12:45:30
1,31,4/9/2023 12:45:30
1,32,4/9/2023 12:45:30
1,33,4/9/2023 12:45:30
1,34,4/9/2023 12:45:30
1,35,4/9/2023 12:45:30
1,36,4/9/2023 12:45:30
4,37,4/9/2023 12:45:30
4,38,4/9/2023 12:45:30
1,39,4/9/2023 12:45:30
1,1,4/9/2023 13:00:44
4,2,4/9/2023 13:00:44
1,3,4/9/2023 13:00:44
1,4,4/9/2023 13:00:44
1,5,4/9/2023 13:00:44
1,6,4/9/2023 13:00:44
1,7,4/9/2023 13:00:44
1,8,4/9/2023 13:00:44
1,9,4/9/2023 13:00:44
4,10,4/9/2023 13:00:44
1,11,4/9/2023 13:00:44
0,12,4/9/2023 13:00:44
0,13,4/9/2023 13:00:44
0,14,4/9/2023 13:00:44
1,15,4/9/2023 13:00:44
0,16,4/9/2023 13:00:44
0,17,4/9/2023 13:00:44
0,18,4/9/2023 13:00:44
1,19,4/9/2023 13:00:44
1,20,4/9/2023 13:00:44
1,21,4/9/2023 13:00:44
1,22,4/9/2023 13:00:44
1,23,4/9/2023 13:00:44
1,24,4/9/2023 13:00:44
1,25,4/9/2023 13:00:44
1,26,4/9/2023 13:00:44
1,27,4/9/2023 13:00:44
1,28,4/9/2023 13:00:44
1,29,4/9/2023 13:00:44
1,30,4/9/2023 13:00:44
1,31,4/9/2023 13:00:44
1,32,4/9/2023 13:00:44
1,33,4/9/2023 13:00:44
1,34,4/9/2023 13:00:44
1,35,4/9/2023 13:00:44
1,36,4/9/2023 13:00:44
4,37,4/9/2023 13:00:44
1,38,4/9/2023 13:00:44
1,39,4/9/2023 13:00:44
1,1,4/9/2023 13:15:20
4,2,4/9/2023 13:15:20
1,3,4/9/2023 13:15:20
1,4,4/9/2023 13:15:20
1,5,4/9/2023 13:15:20
1,6,4/9/2023 13:15:20
1,7,4/9/2023 13:15:20
1,8,4/9/2023 13:15:20
1,9,4/9/2023 13:15:20
4,10,4/9/2023 13:15:20
1,11,4/9/2023 13:15:20
0,12,4/9/2023 13:15:20
0,13,4/9/2023 13:15:20
0,14,4/9/2023 13:15:20
1,15,4/9/2023 13:15:20
0,16,4/9/2023 13:15:20
0,17,4/9/2023 13:15:20
0,18,4/9/2023 13:15:20
1,19,4/9/2023 13:15:20
1,20,4/9/2023 13:15:20
1,21,4/9/2023 13:15:20
1,22,4/9/2023 13:15:20
1,23,4/9/2023 13:15:20
1,24,4/9/2023 13:15:20
1,25,4/9/2023 13:15:20
1,26,4/9/2023 13:15:20
1,27,4/9/2023 13:15:20
1,28,4/9/2023 13:15:20
1,29,4/9/2023 13:15:20
1,30,4/9/2023 13:15:20
1,31,4/9/2023 13:15:20
1,32,4/9/2023 13:15:20
1,33,4/9/2023 13:15:20
1,34,4/9/2023 13:15:20
1,35,4/9/2023 13:15:20
1,36,4/9/2023 13:15:20
4,37,4/9/2023 13:15:20
1,38,4/9/2023 13:15:20
1,39,4/9/2023 13:15:20
1,1,4/9/2023 13:30:19
4,2,4/9/2023 13:30:19
1,3,4/9/2023 13:30:19
1,4,4/9/2023 13:30:19
1,5,4/9/2023 13:30:19
1,6,4/9/2023 13:30:19
1,7,4/9/2023 13:30:19
1,8,4/9/2023 13:30:19
1,9,4/9/2023 13:30:19
4,10,4/9/2023 13:30:19
1,11,4/9/2023 13:30:19
0,12,4/9/2023 13:30:19
0,13,4/9/2023 13:30:19
0,14,4/9/2023 13:30:19
1,15,4/9/2023 13:30:19
0,16,4/9/2023 13:30:19
0,17,4/9/2023 13:30:19
0,18,4/9/2023 13:30:19
1,19,4/9/2023 13:30:19
1,20,4/9/2023 13:30:19
1,21,4/9/2023 13:30:19
1,22,4/9/2023 13:30:19
1,23,4/9/2023 13:30:19
1,24,4/9/2023 13:30:19
1,25,4/9/2023 13:30:19
1,26,4/9/2023 13:30:19
1,27,4/9/2023 13:30:19
1,28,4/9/2023 13:30:19
1,29,4/9/2023 13:30:19
1,30,4/9/2023 13:30:19
1,31,4/9/2023 13:30:19
1,32,4/9/2023 13:30:19
1,33,4/9/2023 13:30:19
1,34,4/9/2023 13:30:19
1,35,4/9/2023 13:30:19
1,36,4/9/2023 13:30:19
4,37,4/9/2023 13:30:19
1,38,4/9/2023 13:30:19
1,39,4/9/2023 13:30:19
1,1,4/9/2023 13:45:19
4,2,4/9/2023 13:45:19
1,3,4/9/2023 13:45:19
1,4,4/9/2023 13:45:19
1,5,4/9/2023 13:45:19
1,6,4/9/2023 13:45:19
1,7,4/9/2023 13:45:19
1,8,4/9/2023 13:45:19
1,9,4/9/2023 13:45:19
4,10,4/9/2023 13:45:19
1,11,4/9/2023 13:45:19
0,12,4/9/2023 13:45:19
0,13,4/9/2023 13:45:19
0,14,4/9/2023 13:45:19
1,15,4/9/2023 13:45:19
