estatus,id,Fecha
2,1,15/1/2024 20:03:04
1,2,15/1/2024 20:03:04
2,3,15/1/2024 20:03:04
2,4,15/1/2024 20:03:04
2,5,15/1/2024 20:03:04
2,6,15/1/2024 20:03:04
2,7,15/1/2024 20:03:04
1,8,15/1/2024 20:03:04
2,9,15/1/2024 20:03:04
2,10,15/1/2024 20:03:04
1,11,15/1/2024 20:03:04
2,12,15/1/2024 20:03:04
1,13,15/1/2024 20:03:04
1,14,15/1/2024 20:03:04
2,15,15/1/2024 20:03:04
2,19,15/1/2024 20:03:04
1,20,15/1/2024 20:03:04
2,21,15/1/2024 20:03:04
2,22,15/1/2024 20:03:04
2,23,15/1/2024 20:03:04
2,24,15/1/2024 20:03:04
